"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Mill, Abernathy, Germany, Coal",2018,0.155,0.023,0.114,0.152,0.205
"NF Lewis",2018,0.655,0.06,0.52,0.66,0.757
"NF Toutle",2018,0.281,0.123,0.097,0.264,0.577
"Salmon Creek",2018,0.122,0.066,0.027,0.11,0.281
"SF Toutle",2018,0.098,0.078,0.013,0.077,0.3
"Tilton",2018,0.7,0.01,0.679,0.701,0.718
"Upper Cowlitz and Cispus",2018,0.971,0.002,0.967,0.971,0.975
"Washougal",2018,0.685,0.096,0.477,0.692,0.844
"Coweeman",2019,0.256,0.089,0.103,0.249,0.45
"EF Lewis",2019,0.095,0.055,0.021,0.084,0.233
"Elochoman, Skamokawa",2019,0.379,0.115,0.162,0.377,0.601
"Grays, Chinook",2019,0.546,0.14,0.257,0.552,0.798
"Kalama",2019,0.534,0.176,0.189,0.539,0.85
"Lower Cowlitz",2019,0.081,0.049,0.027,0.068,0.209
"Lower Gorge",2019,0.275,0.105,0.105,0.266,0.503
"Mill, Abernathy, Germany, Coal",2019,0.268,0.021,0.229,0.267,0.313
"NF Lewis",2019,0.53,0.056,0.407,0.536,0.627
"NF Toutle",2019,0.228,0.086,0.095,0.216,0.433
"Salmon Creek",2019,0.115,0.073,0.021,0.101,0.298
"SF Toutle",2019,0.112,0.056,0.029,0.104,0.245
"Tilton",2019,0.783,0.007,0.768,0.783,0.795
"Upper Cowlitz and Cispus",2019,0.633,0.007,0.619,0.633,0.645
"Washougal",2019,0.548,0.087,0.369,0.551,0.71
"Coweeman",2020,0.166,0.072,0.055,0.156,0.326
"EF Lewis",2020,0.096,0.051,0.026,0.087,0.221
"Elochoman, Skamokawa",2020,0.235,0.11,0.065,0.221,0.481
"Grays, Chinook",2020,0.406,0.132,0.155,0.407,0.662
"Kalama",2020,0.74,0.087,0.55,0.75,0.881
"Lower Cowlitz",2020,0.075,0.037,0.033,0.066,0.175
"Lower Gorge",2020,0.114,0.081,0.019,0.094,0.328
"Mill, Abernathy, Germany, Coal",2020,0.126,0.039,0.063,0.123,0.213
"NF Lewis",2020,0.569,0.019,0.536,0.567,0.61
"NF Toutle",2020,0.171,0.062,0.078,0.162,0.318
"Salmon Creek",2020,0.114,0.068,0.024,0.101,0.286
"SF Toutle",2020,0.063,0.034,0.016,0.057,0.145
"Tilton",2020,0.818,0.005,0.808,0.818,0.826
"Upper Cowlitz and Cispus",2020,0.58,0.005,0.57,0.58,0.589
"Washougal",2020,0.617,0.066,0.481,0.62,0.739
"Coweeman",2021,0.213,0.062,0.106,0.208,0.344
"EF Lewis",2021,0.074,0.026,0.032,0.072,0.131
"Elochoman, Skamokawa",2021,0.458,0.05,0.361,0.458,0.556
"Grays, Chinook",2021,0.572,0.064,0.442,0.573,0.692
"Kalama",2021,0.742,0.086,0.558,0.75,0.886
"Lower Cowlitz",2021,0.152,0.039,0.091,0.147,0.242
"Lower Gorge",2021,0.073,0.04,0.017,0.065,0.17
"Mill, Abernathy, Germany, Coal",2021,0.144,0.026,0.099,0.142,0.201
"NF Lewis",2021,0.587,0.032,0.522,0.587,0.649
"NF Toutle",2021,0.149,0.07,0.057,0.135,0.327
"Salmon Creek",2021,0.056,0.044,0.007,0.044,0.17
"SF Toutle",2021,0.112,0.035,0.054,0.109,0.189
"Tilton",2021,0.572,0.012,0.544,0.573,0.593
"Upper Cowlitz and Cispus",2021,0.671,0.004,0.663,0.671,0.677
"Washougal",2021,0.186,0.07,0.075,0.179,0.346
"Coweeman",2022,0.113,0.05,0.037,0.106,0.228
"EF Lewis",2022,0.098,0.048,0.029,0.09,0.211
"Elochoman, Skamokawa",2022,0.176,0.082,0.052,0.163,0.371
"Grays, Chinook",2022,0.43,0.126,0.19,0.429,0.673
"Kalama",2022,0.592,0.073,0.444,0.593,0.73
"Lower Cowlitz",2022,0.137,0.049,0.066,0.129,0.257
"Lower Gorge",2022,0.212,0.099,0.059,0.2,0.432
"Mill, Abernathy, Germany, Coal",2022,0.236,0.04,0.164,0.234,0.322
"NF Lewis",2022,0.582,0.029,0.539,0.577,0.653
"NF Toutle",2022,0.154,0.076,0.052,0.139,0.342
"Salmon Creek",2022,0.065,0.058,0.006,0.048,0.221
"SF Toutle",2022,0.139,0.075,0.037,0.123,0.324
"Tilton",2022,0.554,0.01,0.531,0.555,0.572
"Upper Cowlitz and Cispus",2022,0.508,0.006,0.495,0.508,0.519
"Washougal",2022,0.378,0.088,0.214,0.375,0.552
"Coweeman",2023,0.146,0.061,0.05,0.139,0.284
"EF Lewis",2023,0.149,0.054,0.061,0.143,0.269
"Elochoman, Skamokawa",2023,0.212,0.08,0.078,0.204,0.389
"Grays, Chinook",2023,0.362,0.095,0.187,0.359,0.553
"Kalama",2023,0.55,0.09,0.37,0.552,0.722
"Lower Cowlitz",2023,0.163,0.031,0.117,0.158,0.237
"Lower Gorge",2023,0.137,0.083,0.027,0.12,0.336
"Mill, Abernathy, Germany, Coal",2023,0.145,0.023,0.103,0.144,0.195
"NF Lewis",2023,0.643,0.05,0.584,0.629,0.772
"NF Toutle",2023,0.192,0.054,0.105,0.186,0.315
"Salmon Creek",2023,0.099,0.073,0.013,0.079,0.29
"SF Toutle",2023,0.188,0.05,0.101,0.184,0.293
"Tilton",2023,0.832,0.008,0.815,0.833,0.846
"Upper Cowlitz and Cispus",2023,0.518,0.007,0.503,0.519,0.532
"Washougal",2023,0.247,0.101,0.088,0.235,0.482
"Coweeman",2024,0.224,0.084,0.09,0.214,0.414
"EF Lewis",2024,0.055,0.024,0.02,0.052,0.11
"Elochoman, Skamokawa",2024,0.491,0.064,0.366,0.491,0.621
"Grays, Chinook",2024,0.656,0.067,0.517,0.66,0.779
"Kalama",2024,0.591,0.094,0.399,0.59,0.767
"Lower Cowlitz",2024,0.04,0.021,0.016,0.034,0.095
"Lower Gorge",2024,0.24,0.093,0.083,0.233,0.442
"Mill, Abernathy, Germany, Coal",2024,0.237,0.02,0.199,0.237,0.277
"NF Lewis",2024,0.734,0.033,0.692,0.726,0.824
"NF Toutle",2024,0.142,0.071,0.042,0.13,0.312
"Salmon Creek",2024,0.038,0.036,0.003,0.027,0.136
"SF Toutle",2024,0.09,0.051,0.021,0.082,0.212
"Tilton",2024,0.91,0.013,0.878,0.913,0.926
"Upper Cowlitz and Cispus",2024,0.579,0.017,0.535,0.582,0.6
"Washougal",2024,0.224,0.083,0.087,0.216,0.401
"Coweeman",2025,0.097,0.04,0.034,0.092,0.189
"EF Lewis",2025,0.077,0.047,0.016,0.067,0.189
"Elochoman, Skamokawa",2025,0.518,0.087,0.35,0.519,0.684
"Grays, Chinook",2025,0.62,0.069,0.482,0.623,0.746
"Kalama",2025,0.607,0.086,0.435,0.611,0.765
"Lower Cowlitz",2025,0.15,0.057,0.062,0.143,0.279
"Lower Gorge",2025,0.074,0.054,0.01,0.06,0.212
"Mill, Abernathy, Germany, Coal",2025,0.262,0.027,0.211,0.261,0.319
"NF Lewis",2025,0.509,0.062,0.417,0.499,0.675
"NF Toutle",2025,0.043,0.021,0.013,0.039,0.097
"Salmon Creek",2025,0.029,0.034,0.001,0.018,0.126
"SF Toutle",2025,0.031,0.025,0.003,0.024,0.099
"Tilton",2025,0.88,0.015,0.843,0.883,0.9
"Upper Cowlitz and Cispus",2025,0.586,0.016,0.546,0.59,0.607
"Washougal",2025,0.18,0.09,0.046,0.166,0.385
