"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Upper Cowlitz and Cispus",2022,11863,278,11271,11872,12385
"Washougal",2022,545,215,229,516,1073
"Coweeman",2023,558,274,168,507,1203
"EF Lewis",2023,352,183,115,315,803
"Elochoman, Skamokawa",2023,436,203,136,402,923
"Grays, Chinook",2023,598,261,227,552,1247
"Kalama",2023,294,143,117,264,649
"Lower Cowlitz",2023,1219,314,794,1159,1964
"Lower Gorge",2023,187,159,27,144,576
"Mill, Abernathy, Germany, Coal",2023,493,90,336,487,688
"NF Lewis",2023,8497,3030,6141,7621,15989
"NF Toutle",2023,584,257,260,535,1218
"Salmon Creek",2023,120,117,12,84,423
"SF Toutle",2023,527,221,209,492,1077
"Tilton",2023,6634,342,5914,6655,7248
"Upper Cowlitz and Cispus",2023,6745,194,6321,6756,7094
"Washougal",2023,242,153,61,206,627
"Coweeman",2024,983,494,309,882,2228
"EF Lewis",2024,243,124,78,216,547
"Elochoman, Skamokawa",2024,1962,523,1151,1890,3203
"Grays, Chinook",2024,2685,897,1386,2539,4863
"Kalama",2024,409,253,114,352,1048
"Lower Cowlitz",2024,459,266,176,391,1173
"Lower Gorge",2024,551,335,143,475,1378
"Mill, Abernathy, Germany, Coal",2024,1317,145,1060,1311,1622
"NF Lewis",2024,10134,3266,8109,9234,17699
"NF Toutle",2024,544,398,135,460,1420
"Salmon Creek",2024,60,66,4,39,238
"SF Toutle",2024,340,236,65,281,996
"Tilton",2024,8877,1203,6056,9050,10720
"Upper Cowlitz and Cispus",2024,16684,1160,13722,16895,18291
"Washougal",2024,344,179,103,311,792
"Coweeman",2025,460,213,150,425,969
"EF Lewis",2025,264,185,45,219,718
"Elochoman, Skamokawa",2025,1793,467,1046,1742,2841
"Grays, Chinook",2025,2152,570,1283,2065,3505
"Kalama",2025,432,221,163,384,1000
"Lower Cowlitz",2025,1555,1109,420,1264,4517
"Lower Gorge",2025,123,114,14,89,443
"Mill, Abernathy, Germany, Coal",2025,1516,193,1166,1506,1919
"NF Lewis",2025,5899,4538,4629,5146,11153
"NF Toutle",2025,175,101,49,154,428
"Salmon Creek",2025,36,48,1,19,171
"SF Toutle",2025,112,103,10,83,393
"Tilton",2025,6212,784,4370,6322,7437
"Upper Cowlitz and Cispus",2025,18732,1254,15598,18973,20519
"Washougal",2025,233,154,49,197,610
