"","Population","Year","X2.5.","X25.","X50.","X75.","X97.5.","Origin"
"45","Grays, Chinook",2018,1.61086197464509,2.71001360977472,3.50539524475233,4.53397504001227,7.78737966533887,"Hatchery"
"46","Grays, Chinook",2019,1.27250905682738,2.8617340744867,3.99948102578786,5.62886065505782,10.9455061500543,"Hatchery"
"47","Grays, Chinook",2020,0.810380520677707,1.84929472818074,2.70694309732114,3.90548227106303,7.71498496465801,"Hatchery"
"48","Grays, Chinook",2021,3.8045980961375,5.1506647898202,6.18137927258825,7.47214695102851,11.5633903452109,"Hatchery"
"49","Kalama",2010,9.1327485793752,20.6098031361637,33.1090744306094,55.0186554222032,164.267248231468,"Hatchery"
"50","Kalama",2011,1.72515126182533,4.87697564937848,8.40483646321857,14.8007962010825,48.9164299697348,"Hatchery"
"51","Kalama",2012,1.82256244008049,3.6257024118336,5.23551471493185,7.78318999814149,17.0931031401045,"Hatchery"
"52","Kalama",2013,2.47256379077943,4.80448335185763,6.99559797263423,10.3030307348171,23.1358841232483,"Hatchery"
"53","Kalama",2014,10.6406683658135,19.9893492139727,27.9363198122746,39.0062279803812,74.903741651928,"Hatchery"
"54","Kalama",2015,1.70688931882241,3.22135055722178,4.5401661096284,6.35846079115825,12.5983140292363,"Hatchery"
"55","Kalama",2016,0.59338057108477,1.61896850491583,2.63350844559596,4.22491534249472,10.5555093697771,"Hatchery"
"56","Kalama",2017,0.276434517863134,0.994645010963684,1.81208035095882,3.30271849289844,9.94309285515968,"Hatchery"
"57","Kalama",2018,0.826543261815643,1.89703723640869,2.81864976942293,4.1259258348891,9.03829997140319,"Hatchery"
"58","Kalama",2019,0.565581531222578,1.62760961603311,2.80385029031614,4.95314765951752,14.8547854621681,"Hatchery"
"59","Kalama",2020,5.4332145895234,9.74869068826383,13.211454305606,18.2925348864373,36.5864224626062,"Hatchery"
"60","Kalama",2021,5.60363426764418,10.811245947537,15.8310916728051,23.8300185880863,57.9046323318104,"Hatchery"
"61","LCR ESU",2010,10.3649401338551,11.2186069686733,11.8429016305731,12.7461282093163,17.3572898471959,"Hatchery"
