"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Abernathy_Above AFTC",2018,0.145,0.032,0.088,0.143,0.215
"Mill",2018,0.152,0.034,0.091,0.15,0.224
"Germany",2018,0.162,0.037,0.098,0.16,0.239
"Upper Cowlitz and Cispus",2018,0.971,0.002,0.967,0.971,0.975
"Tilton",2018,0.704,0.009,0.685,0.705,0.721
"Lower Cowlitz",2018,0.153,0.127,0.013,0.116,0.487
"Delameter_Above Weir",2018,0.162,0.08,0.041,0.149,0.351
"Lacamas_Above Weir",2018,0.008,0.01,0,0.005,0.035
"Olequa_Above Weir",2018,0.037,0.039,0.003,0.024,0.15
"Ostrander_Above Weir",2018,0.119,0.067,0.027,0.107,0.282
"Green",2018,0.201,0.11,0.041,0.183,0.458
"Upper NF Toutle",2018,0,0.001,0,0,0.001
"NF_MS Toutle",2018,0.352,0.201,0.054,0.321,0.783
"SF Toutle",2018,0.099,0.082,0.011,0.075,0.321
"Coweeman",2018,0.265,0.171,0.028,0.237,0.635
"Kalama",2018,0.631,0.16,0.277,0.651,0.884
"Lower Lewis",2018,0.61,0.149,0.301,0.621,0.864
"Upper NF Lewis",2018,0.933,0.003,0.927,0.933,0.939
"Cedar",2018,0.274,0.181,0.027,0.243,0.663
"EF Lewis",2018,0.133,0.063,0.039,0.124,0.282
"Salmon Creek",2018,0.118,0.066,0.026,0.106,0.277
"Washougal",2018,0.696,0.1,0.477,0.704,0.864
"Lower Gorge",2018,0.208,0.088,0.069,0.197,0.408
"Duncan_Above Weir",2018,0.097,0.083,0.009,0.073,0.323
"Grays_Chinook",2019,0.561,0.159,0.226,0.571,0.835
"Elochoman_Skamokawa",2019,0.372,0.116,0.158,0.369,0.602
"Abernathy",2019,0.284,0.032,0.223,0.284,0.348
"Abernathy_Above AFTC",2019,0.281,0.032,0.22,0.28,0.345
"Mill",2019,0.272,0.031,0.214,0.271,0.333
"Germany",2019,0.27,0.031,0.213,0.269,0.332
"Upper Cowlitz and Cispus",2019,0.634,0.007,0.62,0.634,0.646
"Tilton",2019,0.784,0.007,0.771,0.784,0.796
"Lower Cowlitz",2019,0.075,0.066,0.006,0.055,0.254
"Delameter_Above Weir",2019,0.149,0.086,0.029,0.133,0.358
"Lacamas_Above Weir",2019,0.012,0.012,0.001,0.008,0.044
"Olequa_Above Weir",2019,0.033,0.029,0.003,0.024,0.109
"Ostrander_Above Weir",2019,0.193,0.059,0.091,0.187,0.32
"Green",2019,0.163,0.077,0.047,0.152,0.345
"Upper NF Toutle",2019,0,0,0,0,0.001
"NF_MS Toutle",2019,0.418,0.161,0.127,0.41,0.742
"SF Toutle",2019,0.111,0.056,0.029,0.101,0.246
"Coweeman",2019,0.262,0.092,0.107,0.254,0.457
"Kalama",2019,0.517,0.186,0.164,0.523,0.85
"Lower Lewis",2019,0.556,0.183,0.196,0.563,0.878
"Upper NF Lewis",2019,0.752,0.006,0.74,0.752,0.764
"Cedar",2019,0.135,0.088,0.022,0.117,0.351
"EF Lewis",2019,0.094,0.057,0.019,0.082,0.237
"Salmon Creek",2019,0.11,0.07,0.019,0.094,0.285
"Washougal",2019,0.55,0.09,0.368,0.551,0.717
