"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Duncan_Above Weir",2014,0.505,0.042,0.424,0.504,0.588
"Grays_Chinook",2015,0.48,0.043,0.395,0.48,0.566
"Elochoman_Skamokawa",2015,0.484,0.047,0.394,0.484,0.577
"Abernathy",2015,0.473,0.037,0.4,0.473,0.546
"Abernathy_Above AFTC",2015,0.441,0.038,0.367,0.441,0.516
"Mill",2015,0.464,0.038,0.389,0.465,0.538
"Germany",2015,0.471,0.038,0.396,0.471,0.546
"Upper Cowlitz and Cispus",2015,0.476,0.054,0.372,0.476,0.583
"Tilton",2015,0.476,0.053,0.37,0.476,0.582
"Lower Cowlitz",2015,0.483,0.05,0.386,0.483,0.582
"Delameter_Above Weir",2015,0.437,0.049,0.341,0.438,0.534
"Lacamas_Above Weir",2015,0.473,0.053,0.369,0.473,0.576
"Olequa_Above Weir",2015,0.484,0.052,0.382,0.484,0.587
"Ostrander_Above Weir",2015,0.458,0.049,0.363,0.457,0.554
"Green",2015,0.458,0.051,0.359,0.459,0.559
"Upper NF Toutle",2015,0.476,0.054,0.37,0.476,0.582
"NF_MS Toutle",2015,0.493,0.051,0.396,0.492,0.594
"SF Toutle",2015,0.507,0.044,0.421,0.506,0.596
"Coweeman",2015,0.464,0.047,0.373,0.464,0.558
"Kalama",2015,0.481,0.043,0.396,0.481,0.568
"Lower Lewis",2015,0.468,0.053,0.363,0.467,0.572
"Upper NF Lewis",2015,0.476,0.052,0.373,0.476,0.58
"Cedar",2015,0.464,0.052,0.362,0.464,0.565
"EF Lewis",2015,0.485,0.05,0.387,0.485,0.585
"Salmon Creek",2015,0.481,0.053,0.378,0.48,0.585
"Washougal",2015,0.487,0.048,0.391,0.487,0.582
"Lower Gorge",2015,0.499,0.048,0.407,0.499,0.596
"Duncan_Above Weir",2015,0.454,0.049,0.359,0.454,0.548
"Grays_Chinook",2016,0.473,0.027,0.419,0.472,0.526
"Elochoman_Skamokawa",2016,0.456,0.047,0.364,0.457,0.549
"Abernathy",2016,0.536,0.028,0.481,0.536,0.591
"Abernathy_Above AFTC",2016,0.539,0.027,0.486,0.539,0.591
"Mill",2016,0.528,0.028,0.473,0.528,0.583
"Germany",2016,0.527,0.029,0.47,0.527,0.583
"Upper Cowlitz and Cispus",2016,0.476,0.052,0.376,0.476,0.578
"Tilton",2016,0.476,0.052,0.374,0.476,0.579
"Lower Cowlitz",2016,0.481,0.046,0.392,0.48,0.572
"Delameter_Above Weir",2016,0.486,0.045,0.398,0.486,0.575
"Lacamas_Above Weir",2016,0.48,0.05,0.384,0.48,0.58
"Olequa_Above Weir",2016,0.462,0.051,0.364,0.462,0.56
"Ostrander_Above Weir",2016,0.512,0.047,0.424,0.511,0.606
"Green",2016,0.536,0.037,0.464,0.535,0.609
"Upper NF Toutle",2016,0.476,0.053,0.372,0.476,0.579
"NF_MS Toutle",2016,0.478,0.051,0.379,0.478,0.577
"SF Toutle",2016,0.5,0.044,0.414,0.5,0.589
"Coweeman",2016,0.47,0.046,0.382,0.47,0.559
"Kalama",2016,0.488,0.052,0.389,0.488,0.591
"Lower Lewis",2016,0.456,0.049,0.36,0.456,0.551
