"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Tilton",2014,0.356,0.007,0.342,0.356,0.369
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Washougal",2014,0.712,0.055,0.6,0.714,0.813
"Coweeman",2015,0.224,0.089,0.082,0.215,0.427
"EF Lewis",2015,0.248,0.126,0.057,0.23,0.527
"Elochoman, Skamokawa",2015,0.463,0.132,0.214,0.462,0.717
"Grays, Chinook",2015,0.647,0.149,0.333,0.658,0.896
"Kalama",2015,0.892,0.043,0.793,0.897,0.96
"Lower Cowlitz",2015,0.088,0.055,0.027,0.073,0.236
"Lower Gorge",2015,0.14,0.08,0.032,0.123,0.339
"Mill, Abernathy, Germany, Coal",2015,0.068,0.016,0.04,0.066,0.104
"NF Lewis",2015,0.791,0.028,0.73,0.793,0.84
"NF Toutle",2015,0.551,0.103,0.343,0.551,0.739
"Salmon Creek",2015,0.044,0.058,0.001,0.023,0.209
"SF Toutle",2015,0.491,0.082,0.327,0.49,0.651
"Tilton",2015,0.535,0.016,0.501,0.536,0.562
"Upper Cowlitz and Cispus",2015,0.714,0.014,0.685,0.714,0.739
"Washougal",2015,0.686,0.12,0.431,0.7,0.887
"Coweeman",2016,0.154,0.071,0.047,0.144,0.32
"EF Lewis",2016,0.52,0.193,0.164,0.521,0.879
"Elochoman, Skamokawa",2016,0.401,0.137,0.155,0.39,0.679
"Grays, Chinook",2016,0.596,0.126,0.341,0.6,0.821
"Kalama",2016,0.662,0.204,0.203,0.7,0.955
"Lower Cowlitz",2016,0.095,0.063,0.024,0.078,0.262
"Lower Gorge",2016,0.079,0.044,0.019,0.07,0.188
"Mill, Abernathy, Germany, Coal",2016,0.13,0.014,0.104,0.129,0.158
"NF Lewis",2016,0.649,0.033,0.581,0.65,0.71
"NF Toutle",2016,0.604,0.062,0.475,0.608,0.716
"Salmon Creek",2016,0.071,0.083,0.003,0.042,0.316
"SF Toutle",2016,0.222,0.066,0.109,0.216,0.361
"Tilton",2016,0.622,0.013,0.594,0.623,0.644
"Upper Cowlitz and Cispus",2016,0.906,0.004,0.899,0.906,0.913
"Washougal",2016,0.743,0.082,0.567,0.75,0.883
"Coweeman",2017,0.103,0.079,0.012,0.082,0.31
"EF Lewis",2017,0.369,0.11,0.172,0.366,0.597
"Elochoman, Skamokawa",2017,0.226,0.134,0.042,0.202,0.54
"Grays, Chinook",2017,0.764,0.124,0.474,0.785,0.946
"Kalama",2017,0.648,0.229,0.145,0.689,0.966
"Lower Cowlitz",2017,0.201,0.115,0.04,0.182,0.462
"Lower Gorge",2017,0.197,0.122,0.038,0.169,0.502
"Mill, Abernathy, Germany, Coal",2017,0.082,0.012,0.06,0.082,0.109
"NF Lewis",2017,0.547,0.037,0.478,0.545,0.62
"NF Toutle",2017,0.326,0.131,0.115,0.314,0.612
"Salmon Creek",2017,0.121,0.097,0.013,0.093,0.369
"SF Toutle",2017,0.128,0.106,0.013,0.098,0.413
"Tilton",2017,0.503,0.008,0.487,0.503,0.517
"Upper Cowlitz and Cispus",2017,0.552,0.007,0.537,0.552,0.565
"Washougal",2017,0.748,0.067,0.601,0.752,0.865
"Coweeman",2018,0.208,0.17,0.019,0.159,0.661
"EF Lewis",2018,0.126,0.061,0.035,0.116,0.266
"Elochoman, Skamokawa",2018,0.367,0.142,0.128,0.357,0.655
"Grays, Chinook",2018,0.776,0.124,0.496,0.798,0.956
"Kalama",2018,0.657,0.186,0.256,0.676,0.946
"Lower Cowlitz",2018,0.104,0.085,0.018,0.076,0.333
"Lower Gorge",2018,0.214,0.091,0.071,0.202,0.412
"Mill, Abernathy, Germany, Coal",2018,0.153,0.021,0.115,0.152,0.196
"NF Lewis",2018,0.683,0.053,0.571,0.685,0.785
"NF Toutle",2018,0.316,0.136,0.093,0.304,0.618
"Salmon Creek",2018,0.112,0.063,0.025,0.101,0.261
"SF Toutle",2018,0.118,0.113,0.008,0.081,0.433
"Tilton",2018,0.707,0.009,0.689,0.707,0.723
"Upper Cowlitz and Cispus",2018,0.972,0.002,0.967,0.972,0.976
"Washougal",2018,0.731,0.113,0.475,0.744,0.914
"Coweeman",2019,0.294,0.107,0.112,0.285,0.523
"EF Lewis",2019,0.092,0.062,0.015,0.079,0.246
"Elochoman, Skamokawa",2019,0.338,0.124,0.124,0.329,0.599
"Grays, Chinook",2019,0.66,0.202,0.215,0.69,0.953
"Kalama",2019,0.636,0.217,0.167,0.67,0.954
"Lower Cowlitz",2019,0.067,0.046,0.017,0.054,0.186
"Lower Gorge",2019,0.255,0.101,0.091,0.245,0.473
"Mill, Abernathy, Germany, Coal",2019,0.273,0.02,0.235,0.273,0.313
"NF Lewis",2019,0.488,0.054,0.379,0.489,0.592
"NF Toutle",2019,0.223,0.083,0.089,0.213,0.412
"Salmon Creek",2019,0.125,0.08,0.022,0.108,0.325
"SF Toutle",2019,0.096,0.054,0.021,0.087,0.228
"Tilton",2019,0.785,0.006,0.772,0.786,0.797
"Upper Cowlitz and Cispus",2019,0.633,0.007,0.619,0.633,0.646
"Washougal",2019,0.564,0.096,0.378,0.566,0.748
"Coweeman",2020,0.146,0.073,0.038,0.134,0.317
"EF Lewis",2020,0.105,0.081,0.01,0.084,0.312
"Elochoman, Skamokawa",2020,0.14,0.11,0.012,0.111,0.429
"Grays, Chinook",2020,0.409,0.192,0.084,0.393,0.8
"Kalama",2020,0.648,0.112,0.417,0.653,0.847
"Lower Cowlitz",2020,0.082,0.078,0.017,0.055,0.314
"Lower Gorge",2020,0.158,0.133,0.012,0.12,0.497
"Mill, Abernathy, Germany, Coal",2020,0.099,0.049,0.029,0.091,0.218
"NF Lewis",2020,0.425,0.029,0.368,0.425,0.484
"NF Toutle",2020,0.176,0.072,0.07,0.164,0.35
"Salmon Creek",2020,0.156,0.09,0.029,0.139,0.374
"SF Toutle",2020,0.028,0.025,0.002,0.021,0.095
"Tilton",2020,0.804,0.025,0.736,0.811,0.832
"Upper Cowlitz and Cispus",2020,0.548,0.037,0.454,0.558,0.589
"Washougal",2020,0.576,0.083,0.414,0.576,0.731
