"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Kalama",2023,307,161,127,264,690
"Lower Cowlitz",2023,5700,771,4425,5635,7332
"Lower Gorge",2023,956,493,377,842,2319
"Mill, Abernathy, Germany, Coal",2023,3481,289,2939,3463,4077
"NF Lewis",2023,4660,315,4257,4588,5300
"NF Toutle",2023,1988,461,1265,1939,3040
"Salmon Creek",2023,933,549,213,828,2161
"SF Toutle",2023,2064,745,1011,1938,3772
"Tilton",2023,1338,39,1262,1337,1413
"Upper Cowlitz and Cispus",2023,6253,88,6095,6255,6412
"Washougal",2023,556,221,209,531,1109
