"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Olequa_Above Weir",2020,0.064,0.033,0.017,0.059,0.142
"Ostrander_Above Weir",2020,0.048,0.025,0.014,0.042,0.111
"Green",2020,0.146,0.049,0.066,0.141,0.253
"Upper NF Toutle",2020,0,0,0,0,0.001
"NF_MS Toutle",2020,0.293,0.162,0.066,0.273,0.65
"SF Toutle",2020,0.062,0.033,0.015,0.057,0.137
"Coweeman",2020,0.172,0.07,0.058,0.161,0.334
"Kalama",2020,0.728,0.084,0.551,0.733,0.863
"Lower Lewis",2020,0.573,0.173,0.224,0.592,0.873
"Upper NF Lewis",2020,0.496,0.005,0.485,0.496,0.505
"Cedar",2020,0.634,0.021,0.593,0.634,0.675
"EF Lewis",2020,0.104,0.053,0.026,0.095,0.228
"Salmon Creek",2020,0.122,0.067,0.026,0.112,0.276
"Washougal",2020,0.61,0.073,0.463,0.617,0.745
"Lower Gorge",2020,0.107,0.076,0.017,0.09,0.297
"Duncan_Above Weir",2020,0.018,0.022,0.001,0.012,0.085
"Grays_Chinook",2021,0.568,0.071,0.409,0.571,0.693
"Elochoman_Skamokawa",2021,0.458,0.049,0.364,0.458,0.551
"Abernathy",2021,0.148,0.043,0.075,0.144,0.244
"Abernathy_Above AFTC",2021,0.146,0.038,0.081,0.143,0.223
"Mill",2021,0.153,0.045,0.074,0.149,0.256
"Germany",2021,0.146,0.047,0.07,0.14,0.249
"Coal",2021,0.257,0.243,0,0.189,0.842
"Upper Cowlitz and Cispus",2021,0.671,0.003,0.664,0.671,0.677
"Tilton",2021,0.571,0.012,0.546,0.572,0.592
"Lower Cowlitz",2021,0.107,0.067,0.022,0.094,0.26
"Delameter_Above Weir",2021,0.254,0.042,0.169,0.253,0.328
"Lacamas_Above Weir",2021,0.053,0.024,0.017,0.05,0.114
"Olequa_Above Weir",2021,0.215,0.079,0.074,0.21,0.383
"Ostrander_Above Weir",2021,0.399,0.044,0.319,0.398,0.489
"Green",2021,0.082,0.031,0.035,0.08,0.147
"Upper NF Toutle",2021,0,0,0,0,0.002
"NF_MS Toutle",2021,0.388,0.185,0.076,0.376,0.771
"SF Toutle",2021,0.113,0.035,0.055,0.11,0.191
"Coweeman",2021,0.21,0.06,0.104,0.208,0.343
"Kalama",2021,0.741,0.086,0.541,0.753,0.88
"Lower Lewis",2021,0.662,0.149,0.341,0.683,0.906
"Upper NF Lewis",2021,0.697,0.005,0.688,0.697,0.706
"Cedar",2021,0.214,0.038,0.15,0.213,0.288
"EF Lewis",2021,0.074,0.025,0.033,0.072,0.131
"Salmon Creek",2021,0.062,0.05,0.009,0.047,0.189
"Washougal",2021,0.182,0.069,0.067,0.176,0.324
"Lower Gorge",2021,0.067,0.038,0.016,0.06,0.151
"Duncan_Above Weir",2021,0.015,0.023,0,0.007,0.084
"Grays_Chinook",2022,0.396,0.14,0.162,0.396,0.659
"Elochoman_Skamokawa",2022,0.168,0.087,0.045,0.153,0.374
"Abernathy",2022,0.254,0.066,0.148,0.247,0.392
"Abernathy_Above AFTC",2022,0.26,0.071,0.14,0.252,0.404
"Mill",2022,0.259,0.073,0.135,0.254,0.411
"Germany",2022,0.279,0.075,0.145,0.275,0.434
"Coal",2022,0.497,0.334,0,0.611,0.944
"Upper Cowlitz and Cispus",2022,0.508,0.006,0.496,0.508,0.519
"Tilton",2022,0.554,0.01,0.533,0.554,0.573
"Lower Cowlitz",2022,0.113,0.115,0.006,0.073,0.414
"Delameter_Above Weir",2022,0.09,0.032,0.035,0.089,0.15
"Lacamas_Above Weir",2022,0.027,0.015,0.005,0.024,0.065
"Olequa_Above Weir",2022,0.265,0.084,0.123,0.255,0.441
"Ostrander_Above Weir",2022,0.139,0.027,0.09,0.138,0.193
"Green",2022,0.139,0.066,0.036,0.129,0.286
"Upper NF Toutle",2022,0,0,0,0,0.001
"NF_MS Toutle",2022,0.359,0.196,0.059,0.33,0.775
"SF Toutle",2022,0.134,0.073,0.032,0.123,0.292
"Coweeman",2022,0.105,0.045,0.039,0.099,0.218
"Kalama",2022,0.587,0.067,0.466,0.587,0.715
"Lower Lewis",2022,0.829,0.072,0.671,0.838,0.936
"Upper NF Lewis",2022,0.634,0.005,0.625,0.634,0.644
"Cedar",2022,0.258,0.025,0.205,0.258,0.306
"EF Lewis",2022,0.097,0.046,0.029,0.089,0.21
"Salmon Creek",2022,0.087,0.069,0.011,0.067,0.269
"Washougal",2022,0.379,0.092,0.199,0.375,0.561
"Lower Gorge",2022,0.195,0.097,0.041,0.185,0.421
"Duncan_Above Weir",2022,0.012,0.024,0,0.005,0.06
"Grays_Chinook",2023,0.316,0.101,0.14,0.308,0.525
"Elochoman_Skamokawa",2023,0.162,0.078,0.046,0.149,0.325
"Abernathy",2023,0.145,0.04,0.071,0.144,0.229
"Abernathy_Above AFTC",2023,0.148,0.044,0.073,0.144,0.241
"Mill",2023,0.141,0.041,0.073,0.137,0.229
"Germany",2023,0.145,0.047,0.073,0.141,0.238
"Coal",2023,0.31,0.278,0,0.258,0.878
"Upper Cowlitz and Cispus",2023,0.515,0.021,0.463,0.52,0.541
"Tilton",2023,0.835,0.022,0.779,0.841,0.862
"Lower Cowlitz",2023,0.098,0.118,0.001,0.054,0.452
"Delameter_Above Weir",2023,0.26,0.048,0.175,0.261,0.357
"Lacamas_Above Weir",2023,0.025,0.019,0.003,0.02,0.074
"Olequa_Above Weir",2023,0.257,0.045,0.174,0.256,0.343
"Ostrander_Above Weir",2023,0.429,0.051,0.332,0.427,0.525
"Green",2023,0.206,0.053,0.108,0.203,0.311
"Upper NF Toutle",2023,0,0,0,0,0.002
"NF_MS Toutle",2023,0.34,0.152,0.095,0.33,0.653
"SF Toutle",2023,0.199,0.054,0.102,0.195,0.318
"Coweeman",2023,0.119,0.058,0.027,0.112,0.246
"Kalama",2023,0.529,0.093,0.349,0.531,0.705
"Lower Lewis",2023,0.911,0.065,0.744,0.929,0.987
"Upper NF Lewis",2023,0.561,0.005,0.551,0.56,0.571
"Cedar",2023,0.644,0.017,0.612,0.643,0.676
"EF Lewis",2023,0.178,0.062,0.077,0.172,0.313
"Salmon Creek",2023,0.164,0.115,0.024,0.134,0.422
"Washougal",2023,0.285,0.123,0.073,0.276,0.555
"Lower Gorge",2023,0.104,0.09,0.009,0.077,0.354
"Duncan_Above Weir",2023,0.013,0.023,0,0.004,0.08
