"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Upper NF Toutle",2014,0.474,0.056,0.374,0.47,0.589
"NF_MS Toutle",2014,0.529,0.041,0.446,0.532,0.6
"SF Toutle",2014,0.5,0.024,0.454,0.5,0.545
"Coweeman",2014,0.507,0.035,0.441,0.507,0.581
"Kalama",2014,0.532,0.037,0.467,0.533,0.594
"Lower Lewis",2014,0.461,0.037,0.389,0.458,0.535
"Upper NF Lewis",2014,0.472,0.061,0.365,0.471,0.592
"Cedar",2014,0.493,0.042,0.415,0.492,0.573
"EF Lewis",2014,0.446,0.039,0.368,0.445,0.52
"Salmon Creek",2014,0.468,0.048,0.37,0.467,0.565
"Washougal",2014,0.468,0.04,0.387,0.471,0.543
"Lower Gorge",2014,0.529,0.044,0.448,0.529,0.625
"Duncan_Above Weir",2014,0.515,0.041,0.435,0.513,0.597
"Grays_Chinook",2015,0.479,0.044,0.395,0.478,0.574
"Elochoman_Skamokawa",2015,0.478,0.051,0.381,0.477,0.58
"Abernathy",2015,0.471,0.039,0.388,0.473,0.543
"Abernathy_Above AFTC",2015,0.451,0.04,0.372,0.452,0.542
"Mill",2015,0.458,0.036,0.389,0.458,0.534
"Germany",2015,0.464,0.039,0.386,0.466,0.538
"Coal",2015,0.484,0.056,0.385,0.482,0.587
"Upper Cowlitz and Cispus",2015,0.476,0.058,0.356,0.477,0.582
"Tilton",2015,0.477,0.053,0.38,0.473,0.577
"Lower Cowlitz",2015,0.476,0.048,0.379,0.476,0.571
"Delameter_Above Weir",2015,0.434,0.05,0.347,0.433,0.534
"Lacamas_Above Weir",2015,0.476,0.052,0.381,0.473,0.585
"Olequa_Above Weir",2015,0.485,0.048,0.395,0.483,0.575
"Ostrander_Above Weir",2015,0.452,0.052,0.36,0.453,0.552
"Green",2015,0.447,0.052,0.347,0.449,0.534
"Upper NF Toutle",2015,0.471,0.048,0.373,0.47,0.566
"NF_MS Toutle",2015,0.497,0.051,0.401,0.493,0.591
"SF Toutle",2015,0.507,0.05,0.41,0.51,0.604
"Coweeman",2015,0.458,0.049,0.36,0.462,0.536
"Kalama",2015,0.481,0.045,0.39,0.482,0.562
"Lower Lewis",2015,0.459,0.055,0.35,0.46,0.574
"Upper NF Lewis",2015,0.47,0.053,0.365,0.472,0.562
"Cedar",2015,0.468,0.056,0.362,0.465,0.576
"EF Lewis",2015,0.487,0.05,0.391,0.487,0.586
"Salmon Creek",2015,0.477,0.048,0.383,0.476,0.564
"Washougal",2015,0.494,0.047,0.393,0.494,0.574
"Lower Gorge",2015,0.508,0.048,0.398,0.509,0.59
"Duncan_Above Weir",2015,0.448,0.054,0.347,0.444,0.552
"Grays_Chinook",2016,0.471,0.028,0.417,0.472,0.53
"Elochoman_Skamokawa",2016,0.455,0.044,0.372,0.453,0.538
"Abernathy",2016,0.538,0.029,0.483,0.537,0.594
"Abernathy_Above AFTC",2016,0.542,0.031,0.488,0.54,0.601
"Mill",2016,0.526,0.029,0.474,0.526,0.586
"Germany",2016,0.53,0.026,0.479,0.53,0.582
"Coal",2016,0.479,0.055,0.373,0.478,0.58
"Upper Cowlitz and Cispus",2016,0.486,0.052,0.393,0.488,0.59
"Tilton",2016,0.476,0.052,0.377,0.474,0.584
"Lower Cowlitz",2016,0.476,0.052,0.371,0.477,0.571
"Delameter_Above Weir",2016,0.493,0.045,0.414,0.494,0.581
"Lacamas_Above Weir",2016,0.476,0.056,0.369,0.473,0.584
"Olequa_Above Weir",2016,0.454,0.047,0.358,0.455,0.541
"Ostrander_Above Weir",2016,0.511,0.044,0.426,0.512,0.594
"Green",2016,0.532,0.036,0.458,0.531,0.602
"Upper NF Toutle",2016,0.48,0.054,0.379,0.482,0.585
"NF_MS Toutle",2016,0.475,0.055,0.368,0.476,0.6
"SF Toutle",2016,0.506,0.042,0.429,0.501,0.592
"Coweeman",2016,0.473,0.049,0.375,0.476,0.556
"Kalama",2016,0.495,0.053,0.396,0.497,0.599
"Lower Lewis",2016,0.462,0.058,0.36,0.46,0.584
"Upper NF Lewis",2016,0.476,0.048,0.381,0.474,0.569
"Cedar",2016,0.453,0.05,0.356,0.454,0.546
"EF Lewis",2016,0.449,0.047,0.353,0.451,0.534
"Salmon Creek",2016,0.492,0.05,0.39,0.494,0.579
"Washougal",2016,0.472,0.042,0.393,0.474,0.554
"Lower Gorge",2016,0.498,0.041,0.418,0.498,0.578
"Duncan_Above Weir",2016,0.47,0.051,0.373,0.472,0.572
"Grays_Chinook",2017,0.503,0.035,0.436,0.504,0.57
"Elochoman_Skamokawa",2017,0.48,0.052,0.379,0.483,0.57
"Abernathy",2017,0.459,0.03,0.4,0.459,0.527
"Abernathy_Above AFTC",2017,0.461,0.028,0.408,0.461,0.515
"Mill",2017,0.473,0.032,0.412,0.474,0.531
"Germany",2017,0.467,0.031,0.409,0.467,0.531
"Coal",2017,0.462,0.053,0.364,0.468,0.559
"Upper Cowlitz and Cispus",2017,0.474,0.051,0.378,0.472,0.58
"Tilton",2017,0.47,0.055,0.37,0.467,0.59
"Lower Cowlitz",2017,0.483,0.044,0.392,0.484,0.569
"Delameter_Above Weir",2017,0.437,0.057,0.325,0.436,0.537
"Lacamas_Above Weir",2017,0.479,0.046,0.39,0.48,0.563
"Olequa_Above Weir",2017,0.476,0.056,0.372,0.469,0.584
"Ostrander_Above Weir",2017,0.503,0.047,0.418,0.505,0.59
"Green",2017,0.469,0.046,0.388,0.469,0.563
"Upper NF Toutle",2017,0.471,0.051,0.374,0.469,0.576
"NF_MS Toutle",2017,0.47,0.053,0.378,0.472,0.576
"SF Toutle",2017,0.447,0.054,0.337,0.445,0.551
"Coweeman",2017,0.476,0.051,0.378,0.473,0.58
"Kalama",2017,0.495,0.047,0.414,0.494,0.59
"Lower Lewis",2017,0.479,0.049,0.383,0.482,0.564
"Upper NF Lewis",2017,0.478,0.053,0.373,0.481,0.567
"Cedar",2017,0.418,0.045,0.325,0.418,0.505
"EF Lewis",2017,0.475,0.046,0.385,0.472,0.565
"Salmon Creek",2017,0.499,0.05,0.394,0.5,0.589
"Washougal",2017,0.46,0.045,0.357,0.463,0.543
"Lower Gorge",2017,0.486,0.047,0.397,0.486,0.569
"Duncan_Above Weir",2017,0.488,0.049,0.4,0.489,0.583
"Grays_Chinook",2018,0.504,0.036,0.435,0.505,0.578
"Elochoman_Skamokawa",2018,0.505,0.051,0.403,0.504,0.611
"Abernathy",2018,0.43,0.034,0.36,0.43,0.49
"Abernathy_Above AFTC",2018,0.449,0.034,0.388,0.45,0.511
"Mill",2018,0.433,0.039,0.357,0.431,0.511
"Germany",2018,0.456,0.036,0.394,0.453,0.529
"Coal",2018,0.481,0.05,0.388,0.482,0.574
"Upper Cowlitz and Cispus",2018,0.475,0.047,0.382,0.475,0.562
"Tilton",2018,0.476,0.057,0.37,0.473,0.589
"Lower Cowlitz",2018,0.461,0.052,0.354,0.465,0.564
"Delameter_Above Weir",2018,0.494,0.05,0.407,0.489,0.599
"Lacamas_Above Weir",2018,0.48,0.057,0.364,0.482,0.611
"Olequa_Above Weir",2018,0.48,0.053,0.375,0.479,0.576
"Ostrander_Above Weir",2018,0.462,0.048,0.36,0.463,0.554
"Green",2018,0.477,0.052,0.378,0.481,0.572
"Upper NF Toutle",2018,0.472,0.054,0.368,0.472,0.575
"NF_MS Toutle",2018,0.464,0.051,0.368,0.461,0.568
"SF Toutle",2018,0.465,0.05,0.374,0.462,0.568
"Coweeman",2018,0.497,0.042,0.419,0.493,0.587
"Kalama",2018,0.483,0.057,0.376,0.482,0.605
"Lower Lewis",2018,0.484,0.05,0.387,0.488,0.576
"Upper NF Lewis",2018,0.476,0.052,0.364,0.473,0.568
"Cedar",2018,0.444,0.059,0.332,0.445,0.549
"EF Lewis",2018,0.486,0.044,0.404,0.481,0.568
"Salmon Creek",2018,0.466,0.044,0.379,0.468,0.558
"Washougal",2018,0.482,0.047,0.39,0.482,0.574
"Lower Gorge",2018,0.465,0.045,0.379,0.465,0.549
"Duncan_Above Weir",2018,0.457,0.047,0.364,0.456,0.553
"Grays_Chinook",2019,0.471,0.039,0.397,0.47,0.547
"Elochoman_Skamokawa",2019,0.422,0.039,0.347,0.42,0.505
"Abernathy",2019,0.499,0.028,0.445,0.499,0.557
"Abernathy_Above AFTC",2019,0.503,0.028,0.45,0.502,0.558
"Mill",2019,0.484,0.029,0.422,0.484,0.535
"Germany",2019,0.481,0.03,0.43,0.481,0.535
"Coal",2019,0.479,0.049,0.378,0.483,0.564
"Upper Cowlitz and Cispus",2019,0.485,0.06,0.384,0.479,0.614
"Tilton",2019,0.478,0.05,0.387,0.476,0.585
"Lower Cowlitz",2019,0.462,0.051,0.352,0.463,0.552
"Delameter_Above Weir",2019,0.428,0.051,0.34,0.428,0.542
"Lacamas_Above Weir",2019,0.472,0.057,0.351,0.47,0.582
"Olequa_Above Weir",2019,0.459,0.055,0.339,0.462,0.56
"Ostrander_Above Weir",2019,0.431,0.049,0.341,0.432,0.518
"Green",2019,0.476,0.047,0.382,0.478,0.569
"Upper NF Toutle",2019,0.476,0.052,0.376,0.474,0.569
"NF_MS Toutle",2019,0.49,0.046,0.397,0.494,0.573
"SF Toutle",2019,0.489,0.049,0.399,0.485,0.576
"Coweeman",2019,0.458,0.052,0.36,0.456,0.567
"Kalama",2019,0.458,0.045,0.373,0.457,0.546
"Lower Lewis",2019,0.446,0.041,0.348,0.448,0.515
"Upper NF Lewis",2019,0.483,0.053,0.379,0.484,0.587
"Cedar",2019,0.472,0.053,0.365,0.475,0.589
"EF Lewis",2019,0.469,0.044,0.388,0.47,0.545
"Salmon Creek",2019,0.486,0.046,0.396,0.488,0.565
"Washougal",2019,0.479,0.047,0.388,0.479,0.574
"Lower Gorge",2019,0.416,0.032,0.353,0.414,0.476
"Duncan_Above Weir",2019,0.509,0.04,0.43,0.511,0.584
"Grays_Chinook",2020,0.473,0.037,0.394,0.474,0.541
"Elochoman_Skamokawa",2020,0.422,0.038,0.348,0.421,0.493
"Abernathy",2020,0.457,0.053,0.362,0.453,0.556
"Abernathy_Above AFTC",2020,0.464,0.049,0.375,0.462,0.559
"Mill",2020,0.482,0.052,0.387,0.48,0.58
"Germany",2020,0.474,0.044,0.388,0.477,0.564
"Coal",2020,0.457,0.053,0.361,0.457,0.566
"Upper Cowlitz and Cispus",2020,0.489,0.05,0.383,0.491,0.581
"Tilton",2020,0.471,0.057,0.36,0.47,0.583
"Lower Cowlitz",2020,0.446,0.047,0.363,0.444,0.539
"Delameter_Above Weir",2020,0.487,0.042,0.404,0.484,0.562
"Lacamas_Above Weir",2020,0.496,0.049,0.398,0.493,0.592
"Olequa_Above Weir",2020,0.457,0.048,0.377,0.455,0.554
"Ostrander_Above Weir",2020,0.462,0.05,0.366,0.463,0.561
"Green",2020,0.485,0.047,0.392,0.481,0.571
"Upper NF Toutle",2020,0.469,0.053,0.373,0.469,0.577
"NF_MS Toutle",2020,0.485,0.052,0.381,0.486,0.581
"SF Toutle",2020,0.469,0.046,0.382,0.466,0.563
"Coweeman",2020,0.498,0.046,0.412,0.5,0.592
"Kalama",2020,0.519,0.045,0.439,0.518,0.607
"Lower Lewis",2020,0.536,0.03,0.482,0.536,0.596
"Upper NF Lewis",2020,0.471,0.055,0.367,0.47,0.583
"Cedar",2020,0.569,0.027,0.517,0.569,0.62
"EF Lewis",2020,0.454,0.038,0.374,0.457,0.522
"Salmon Creek",2020,0.463,0.049,0.37,0.461,0.562
"Washougal",2020,0.493,0.042,0.415,0.495,0.574
"Lower Gorge",2020,0.454,0.048,0.365,0.452,0.556
"Duncan_Above Weir",2020,0.408,0.046,0.327,0.406,0.497
"Grays_Chinook",2021,0.483,0.02,0.445,0.483,0.524
"Elochoman_Skamokawa",2021,0.461,0.031,0.398,0.46,0.523
"Abernathy",2021,0.465,0.041,0.393,0.467,0.547
"Abernathy_Above AFTC",2021,0.464,0.039,0.381,0.467,0.542
"Mill",2021,0.451,0.038,0.379,0.452,0.526
"Germany",2021,0.448,0.044,0.366,0.448,0.532
"Coal",2021,0.453,0.055,0.352,0.454,0.564
"Upper Cowlitz and Cispus",2021,0.49,0.054,0.39,0.49,0.598
"Tilton",2021,0.474,0.052,0.36,0.478,0.566
"Lower Cowlitz",2021,0.429,0.032,0.365,0.427,0.5
"Delameter_Above Weir",2021,0.386,0.044,0.29,0.391,0.46
"Lacamas_Above Weir",2021,0.473,0.053,0.358,0.48,0.56
"Olequa_Above Weir",2021,0.452,0.054,0.356,0.449,0.563
"Ostrander_Above Weir",2021,0.469,0.044,0.39,0.467,0.552
"Green",2021,0.503,0.034,0.437,0.502,0.569
"Upper NF Toutle",2021,0.474,0.052,0.372,0.472,0.587
"NF_MS Toutle",2021,0.47,0.054,0.368,0.469,0.572
"SF Toutle",2021,0.528,0.041,0.455,0.524,0.604
"Coweeman",2021,0.448,0.044,0.368,0.445,0.54
"Kalama",2021,0.497,0.052,0.403,0.497,0.605
