"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"NF Lewis",2019,0.556,0.04,0.467,0.559,0.627
"NF Toutle",2019,0.224,0.092,0.086,0.209,0.471
"Salmon Creek",2019,0.112,0.069,0.021,0.099,0.298
"SF Toutle",2019,0.113,0.051,0.03,0.11,0.229
"Tilton",2019,0.783,0.007,0.768,0.783,0.795
"Upper Cowlitz and Cispus",2019,0.633,0.006,0.621,0.633,0.645
"Washougal",2019,0.557,0.085,0.385,0.554,0.719
"Coweeman",2020,0.172,0.07,0.058,0.161,0.334
"EF Lewis",2020,0.104,0.053,0.026,0.095,0.228
"Elochoman, Skamokawa",2020,0.224,0.105,0.055,0.211,0.476
"Grays, Chinook",2020,0.427,0.146,0.159,0.439,0.681
"Kalama",2020,0.728,0.084,0.551,0.733,0.863
"Lower Cowlitz",2020,0.074,0.046,0.032,0.063,0.192
"Lower Gorge",2020,0.105,0.074,0.016,0.088,0.291
"Mill, Abernathy, Germany, Coal",2020,0.132,0.042,0.069,0.126,0.217
"NF Lewis",2020,0.547,0.016,0.519,0.546,0.585
"NF Toutle",2020,0.184,0.067,0.087,0.175,0.331
"Salmon Creek",2020,0.122,0.067,0.026,0.112,0.276
"SF Toutle",2020,0.062,0.033,0.015,0.057,0.137
"Tilton",2020,0.818,0.005,0.809,0.818,0.827
"Upper Cowlitz and Cispus",2020,0.58,0.005,0.57,0.581,0.589
"Washougal",2020,0.61,0.073,0.463,0.617,0.745
"Coweeman",2021,0.21,0.06,0.104,0.208,0.343
"EF Lewis",2021,0.074,0.025,0.033,0.072,0.131
"Elochoman, Skamokawa",2021,0.458,0.049,0.364,0.458,0.551
"Grays, Chinook",2021,0.568,0.071,0.409,0.571,0.693
"Kalama",2021,0.741,0.086,0.541,0.753,0.88
"Lower Cowlitz",2021,0.161,0.039,0.093,0.157,0.233
"Lower Gorge",2021,0.064,0.036,0.015,0.057,0.146
"Mill, Abernathy, Germany, Coal",2021,0.158,0.031,0.102,0.156,0.229
"NF Lewis",2021,0.609,0.028,0.563,0.607,0.665
"NF Toutle",2021,0.183,0.084,0.066,0.166,0.391
"Salmon Creek",2021,0.062,0.05,0.009,0.047,0.189
"SF Toutle",2021,0.113,0.035,0.055,0.11,0.191
"Tilton",2021,0.571,0.012,0.546,0.572,0.592
"Upper Cowlitz and Cispus",2021,0.671,0.003,0.664,0.671,0.677
"Washougal",2021,0.182,0.069,0.067,0.176,0.324
"Coweeman",2022,0.105,0.045,0.039,0.099,0.218
"EF Lewis",2022,0.097,0.046,0.029,0.089,0.21
"Elochoman, Skamokawa",2022,0.168,0.087,0.045,0.153,0.374
"Grays, Chinook",2022,0.396,0.14,0.162,0.396,0.659
"Kalama",2022,0.587,0.067,0.466,0.587,0.715
"Lower Cowlitz",2022,0.156,0.066,0.071,0.139,0.329
"Lower Gorge",2022,0.188,0.094,0.04,0.178,0.405
